2020-02-18 17:33:35 INFO  DriverControllerBase:141 - NO screenshot --> A.G.Barr PLC (BAG);https://es.investing.com/equities/a.g-barr-plc;656,12M;-;-
2020-02-18 17:33:35 INFO  DriverControllerBase:59 - Cargando URL [https://es.investing.com/equities/skf] 
2020-02-18 17:33:37 INFO  DriverControllerBase:62 - Buscando nombre de empresa
2020-02-18 17:33:37 INFO  DriverControllerBase:69 - Buscando Nacionalidad
2020-02-18 17:33:38 INFO  DriverControllerBase:104 - Buscando Capitalización
2020-02-18 17:33:38 INFO  DriverControllerBase:158 - Buscando Dividendo
2020-02-18 17:33:38 INFO  DriverControllerBase:202 - Buscando sector e industria
2020-02-18 17:33:38 INFO  DriverControllerBase:219 - Buscando PER
2020-02-18 17:33:38 INFO  DriverControllerBase:236 - Accediendo a ratios
2020-02-18 17:33:57 INFO  DriverControllerBase:376 - Accediendo gráfico técnico
2020-02-18 17:33:59 INFO  DriverControllerBase:379 - Recuperando URL primer IFrame
2020-02-18 17:33:59 INFO  DriverControllerBase:391 - Cargando URL [https://tvc4.forexpros.com/init.php?family_prefix=tvc4&carrier=19ad48c1b97769d10f7eca7900b42260&time=1582043656&domain_ID=4&lang_ID=4&timezone_ID=58&pair_ID=26194&interval=86400&refresh=30&session=session&client=&user=guest&width=650&height=750&init_page=instrument&m_pids=&watchlist=&site=https://es.investing.com] 
2020-02-18 17:34:00 INFO  DriverControllerBase:394 - Recuperando URL segundo IFrame
2020-02-18 17:34:00 INFO  DriverControllerBase:398 - Cargando URL [https://tvc-invdn-com.akamaized.net/web/1.12.27/index57-prod.html?carrier=19ad48c1b97769d10f7eca7900b42260&time=1582043656&domain_ID=4&lang_ID=4&timezone_ID=58&version=1.12.27&locale=es&timezone=Europe/Madrid&pair_ID=26194&interval=M&session=session&prefix=es&suffix=&client=0&user=guest&family_prefix=tvc4&init_page=instrument&sock_srv=https://stream343.forexpros.com:443&m_pids=&watchlist=&geoc=ES] 
2020-02-18 17:34:00 INFO  DriverControllerBase:401 - Esperando gráfico en tercer IFrame
2020-02-18 17:34:01 INFO  DriverControllerBase:405 - Buscando botonera tipo gráfico
2020-02-18 17:34:01 INFO  DriverControllerBase:415 - Seleccionando gráfico de velas
2020-02-18 17:34:01 INFO  DriverControllerBase:419 - Buscando botonera escala gráfico
2020-02-18 17:34:01 INFO  DriverControllerBase:427 - Seleccionando escala logarítmica
2020-02-18 17:34:01 INFO  DriverControllerBase:433 - Esperamos 500 milisegundos
2020-02-18 17:34:02 INFO  DriverControllerBase:481 - Generando screenshot --> Sweden;Materiales básicos;Otros productos elaborados;AB SKF A (SKFa);3,26;86,15;15,75;1,02;0,9;40,41;22,25;2,46;2,63;77,99;54,5;-50,88%;-1,34%;-23,7%;-10,9%;3,83%;-3,91%;0,08%;-7,81%;0,35%;1,35%;3,92%;4,42%;1,29;1,54;2,07;2,47;43,39%;80,37%;53,55%;85,95%;3,26%;3,73%;3,55%;3,57%;4,35%;1,24%;51,21%;59,86;https://es.investing.com/equities/skf
2020-02-18 17:34:02 INFO  DriverControllerBase:59 - Cargando URL [https://es.investing.com/equities/abb-ltd] 
2020-02-18 17:34:05 INFO  DriverControllerBase:62 - Buscando nombre de empresa
2020-02-18 17:34:06 INFO  DriverControllerBase:69 - Buscando Nacionalidad
2020-02-18 17:34:06 INFO  DriverControllerBase:104 - Buscando Capitalización
2020-02-18 17:34:06 INFO  DriverControllerBase:158 - Buscando Dividendo
2020-02-18 17:34:06 INFO  DriverControllerBase:202 - Buscando sector e industria
2020-02-18 17:34:07 INFO  DriverControllerBase:219 - Buscando PER
2020-02-18 17:34:07 INFO  DriverControllerBase:236 - Accediendo a ratios
2020-02-18 17:34:33 INFO  DriverControllerBase:376 - Accediendo gráfico técnico
