Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,25.557199,25.893400,24.519100,24.716801,11.505799,13579849
2000-01-04,24.469700,24.786100,23.283300,23.698500,11.031773,15091975
2000-01-05,22.749399,23.214100,22.433001,22.591200,10.516320,16630987
2000-01-06,null,null,null,null,null,null
2000-01-07,22.640600,22.680201,22.264900,22.630699,10.534705,17595592
2000-01-10,23.698500,23.698500,23.046000,23.312901,10.852276,11308250
2000-01-11,23.678699,23.678699,22.986700,23.332701,10.861491,12123959
2000-01-12,23.055901,23.619400,22.778999,22.788900,10.608349,18074557
2000-01-13,23.728201,26.199900,23.579901,24.173100,11.252700,39018979
2000-01-14,24.222500,25.112301,23.925900,24.914600,11.597873,37773067
2000-01-17,25.606600,26.901800,25.408899,26.348200,12.265224,28658817
2000-01-18,26.842501,27.465401,26.150400,26.199900,12.196189,27540490
2000-01-19,26.002100,26.615101,25.834000,26.002100,12.104110,17701876
2000-01-20,25.903200,26.170200,25.270500,25.349600,11.800371,18233527
2000-01-21,24.904699,25.339701,24.618000,24.954100,11.616261,18082962
2000-01-24,24.914600,25.438601,24.568501,24.815701,11.551839,15023065
2000-01-25,24.410400,24.608101,23.975300,24.113800,11.225098,15968604
2000-01-26,24.370800,24.904699,24.202700,24.904699,11.593267,20536097
2000-01-27,25.359501,26.733700,25.132099,26.190001,12.191584,25442002
2000-01-28,26.496500,26.694201,25.656099,26.051500,12.127109,18460640
2000-01-31,25.606600,26.091101,25.211201,25.606600,11.920001,17079021
2000-02-01,25.715401,26.743601,25.616501,26.565701,12.366473,19993694
2000-02-02,26.595301,27.821301,26.377800,27.455500,12.780678,21607502
2000-02-03,27.673000,28.622101,27.495001,28.523199,13.277698,20348158
2000-02-04,28.671499,29.610800,28.661600,28.869301,13.438810,17649745
2000-02-07,28.908800,29.462500,28.285999,28.285999,13.167279,16309091
2000-02-08,28.622101,29.502001,28.473801,29.017599,13.507842,13979971
